year,original,fitted,plot,vi
1999,583.265,568.344,NAH2,ndvi
2000,548.726,571.625,NAH2,ndvi
2001,550.851,574.906,NAH2,ndvi
2002,621.044,578.187,NAH2,ndvi
2003,569.092,581.468,NAH2,ndvi
2004,655.014,584.749,NAH2,ndvi
2005,527.331,588.03,NAH2,ndvi
2006,565.563,591.31,NAH2,ndvi
2007,541.925,594.591,NAH2,ndvi
2008,609.36,597.872,NAH2,ndvi
2009,615.111,601.153,NAH2,ndvi
2010,574.645,604.434,NAH2,ndvi
2011,548.242,607.715,NAH2,ndvi
2012,564.751,610.995,NAH2,ndvi
2013,656.237,614.276,NAH2,ndvi
2014,666.238,617.557,NAH2,ndvi
2015,663.938,620.838,NAH2,ndvi
2016,561.576,624.119,NAH2,ndvi
2017,612.415,627.4,NAH2,ndvi
2018,612.36,630.68,NAH2,ndvi
2019,623.539,633.961,NAH2,ndvi
2020,653.251,637.242,NAH2,ndvi
2021,699.598,640.523,NAH2,ndvi
1984,981.1880000000001,964.614,NPD,evi
1985,963.877,971.055,NPD,evi
1986,982.394,977.496,NPD,evi
1987,872.6790000000001,983.9369999999999,NPD,evi
1988,1128.704,990.379,NPD,evi
1989,920.7860000000001,996.8199999999999,NPD,evi
1990,869.2780000000001,1003.261,NPD,evi
1991,831.37,1009.7030000000001,NPD,evi
1992,1069.219,1016.144,NPD,evi
1993,1368.543,1022.585,NPD,evi
1994,1174.275,1029.026,NPD,evi
1995,874.003,1035.468,NPD,evi
1996,980.5559999999999,1041.909,NPD,evi
1997,1098.1629999999998,1048.35,NPD,evi
1998,1240.273,1054.792,NPD,evi
1999,1049.887,1061.233,NPD,evi
2000,1003.25,1067.6739999999998,NPD,evi
2001,1025.2450000000001,1074.115,NPD,evi
2002,898.2080000000001,1080.557,NPD,evi
2003,911.548,1086.998,NPD,evi
2004,1349.36,1093.439,NPD,evi
2005,813.265,813.265,NPD,evi
2006,1168.1299999999999,878.9409999999999,NPD,evi
2007,832.2840000000001,944.617,NPD,evi
2008,1034.267,1010.2930000000001,NPD,evi
2009,1331.9060000000002,1075.969,NPD,evi
2010,964.495,1141.646,NPD,evi
2011,1356.6039999999998,1207.322,NPD,evi
2012,1261.6509999999998,1272.998,NPD,evi
2013,1143.6619999999998,1338.6739999999998,NPD,evi
2014,1480.366,1404.35,NPD,evi
2015,1548.711,1470.026,NPD,evi
2016,1409.1119999999999,1535.703,NPD,evi
2017,1530.6829999999998,1601.379,NPD,evi
2018,1650.6629999999998,1667.055,NPD,evi
2019,1411.638,1495.743,NPD,evi
2020,1362.521,1324.431,NPD,evi
2021,1155.76,1153.118,NPD,evi
1984,364.472,374.24,NPD,ndvi
1985,427.778,378.368,NPD,ndvi
1986,411.201,382.496,NPD,ndvi
1987,409.074,386.623,NPD,ndvi
1988,422.523,390.751,NPD,ndvi
1989,380.813,394.879,NPD,ndvi
1990,402.757,399.006,NPD,ndvi
1991,359.273,403.134,NPD,ndvi
1992,406.618,407.262,NPD,ndvi
1993,421.448,411.389,NPD,ndvi
1994,447.016,415.517,NPD,ndvi
1995,365.002,419.645,NPD,ndvi
1996,412.223,423.772,NPD,ndvi
1997,412.157,427.9,NPD,ndvi
1998,520.51,432.028,NPD,ndvi
1999,419.736,436.155,NPD,ndvi
2000,420.883,440.283,NPD,ndvi
2001,423.705,444.411,NPD,ndvi
2002,412.75,448.538,NPD,ndvi
2003,428.068,452.666,NPD,ndvi
2004,519.791,456.794,NPD,ndvi
2005,408.87,460.921,NPD,ndvi
2006,470.004,465.049,NPD,ndvi
2007,401.214,469.177,NPD,ndvi
2008,420.995,473.304,NPD,ndvi
2009,470.499,477.432,NPD,ndvi
2010,434.488,481.56,NPD,ndvi
2011,530.034,485.687,NPD,ndvi
2012,546.021,489.815,NPD,ndvi
2013,495.742,493.942,NPD,ndvi
2014,517.617,498.07,NPD,ndvi
2015,541.635,502.198,NPD,ndvi
2016,505.96,506.325,NPD,ndvi
2017,528.152,510.453,NPD,ndvi
2018,551.988,514.581,NPD,ndvi
2019,519.017,518.708,NPD,ndvi
2020,569.401,522.836,NPD,ndvi
2021,478.985,526.964,NPD,ndvi
1984,886.6080000000001,1107.717,NPH,evi
1985,1223.033,1124.3799999999999,NPH,evi
1986,1043.4080000000001,1141.043,NPH,evi
1987,957.1990000000001,1157.707,NPH,evi
1988,1466.3829999999998,1174.37,NPH,evi
1989,1403.731,1191.033,NPH,evi
1990,1462.721,1207.696,NPH,evi
1991,1030.1619999999998,1224.36,NPH,evi
1992,1448.166,1241.023,NPH,evi
1993,1140.756,1257.686,NPH,evi
1994,940.244,1274.35,NPH,evi
1995,917.8509999999999,1291.013,NPH,evi
1996,1172.004,1307.676,NPH,evi
1997,1517.515,1324.339,NPH,evi
1998,2132.1639999999998,1341.003,NPH,evi
1999,1255.299,1357.666,NPH,evi
2000,1513.828,1374.329,NPH,evi
2001,1301.1629999999998,1390.993,NPH,evi
2002,1281.988,1407.656,NPH,evi
2003,1232.1509999999998,1424.319,NPH,evi
2004,1476.482,1440.983,NPH,evi
2005,1124.8429999999998,1457.646,NPH,evi
2006,1276.202,1474.309,NPH,evi
2007,1231.978,1490.972,NPH,evi
2008,1208.3229999999999,1507.636,NPH,evi
2009,1271.449,1524.299,NPH,evi
2010,1087.001,1540.962,NPH,evi
2011,1912.127,1557.626,NPH,evi
2012,1746.1209999999999,1574.289,NPH,evi
2013,1675.015,1590.952,NPH,evi
2014,1666.667,1607.616,NPH,evi
2015,1774.138,1624.279,NPH,evi
2016,2024.81,1640.942,NPH,evi
2017,1581.167,1657.605,NPH,evi
2018,1735.776,1674.269,NPH,evi
2019,1746.51,1690.932,NPH,evi
2020,1654.033,1707.595,NPH,evi
2021,1820.276,1724.259,NPH,evi
1984,376.505,409.399,NPH,ndvi
1985,419.927,413.494,NPH,ndvi
1986,429.527,417.588,NPH,ndvi
1987,372.23,421.683,NPH,ndvi
1988,443.082,425.777,NPH,ndvi
1989,467.861,429.872,NPH,ndvi
1990,466.169,433.966,NPH,ndvi
1991,418.079,438.061,NPH,ndvi
1992,401.06,442.155,NPH,ndvi
1993,394.514,446.25,NPH,ndvi
1994,419.25,450.344,NPH,ndvi
1995,427.609,454.439,NPH,ndvi
1996,427.708,458.533,NPH,ndvi
1997,501.703,462.628,NPH,ndvi
1998,610.533,466.722,NPH,ndvi
1999,457.118,470.817,NPH,ndvi
2000,485.075,474.911,NPH,ndvi
2001,497.554,479.006,NPH,ndvi
2002,466.125,483.101,NPH,ndvi
2003,495.37,487.195,NPH,ndvi
2004,540.499,491.29,NPH,ndvi
2005,471.88,495.384,NPH,ndvi
2006,505.124,499.479,NPH,ndvi
2007,482.105,503.573,NPH,ndvi
2008,482.987,507.668,NPH,ndvi
2009,444.444,511.762,NPH,ndvi
2010,457.351,515.857,NPH,ndvi
2011,577.495,519.951,NPH,ndvi
2012,596.914,524.046,NPH,ndvi
2013,546.372,528.14,NPH,ndvi
2014,560.861,532.235,NPH,ndvi
2015,541.864,536.329,NPH,ndvi
2016,560.354,540.424,NPH,ndvi
2017,505.051,544.518,NPH,ndvi
2018,547.667,548.613,NPH,ndvi
2019,577.953,552.707,NPH,ndvi
2020,550.177,556.802,NPH,ndvi
2021,489.669,560.896,NPH,ndvi
1984,936.993,822.0419999999999,NSD,evi
1985,855.681,888.591,NSD,evi
1986,981.791,955.14,NSD,evi
1987,929.2950000000001,1021.6890000000001,NSD,evi
1988,1087.3529999999998,1088.238,NSD,evi
1989,1357.249,1154.787,NSD,evi
1990,1075.949,1221.336,NSD,evi
1991,1233.288,1287.886,NSD,evi
1992,1615.685,1354.4350000000002,NSD,evi
1993,1494.443,1420.984,NSD,evi
1994,1477.251,1487.533,NSD,evi
1995,1623.3899999999999,1554.0819999999999,NSD,evi
1996,1441.204,1620.6309999999999,NSD,evi
1997,1571.292,1687.1809999999998,NSD,evi
1998,1901.847,1753.73,NSD,evi
1999,1513.12,1740.746,NSD,evi
2000,1530.687,1727.762,NSD,evi
2001,1400.201,1714.778,NSD,evi
2002,1618.299,1701.795,NSD,evi
2003,1725.6989999999998,1688.811,NSD,evi
2004,1622.848,1675.827,NSD,evi
2005,1715.638,1662.8429999999998,NSD,evi
2006,1920.7,1649.859,NSD,evi
2007,1468.2150000000001,1659.629,NSD,evi
2008,1495.87,1669.399,NSD,evi
2009,1527.236,1679.1689999999999,NSD,evi
2010,1516.53,1688.938,NSD,evi
2011,1698.185,1698.708,NSD,evi
2012,1552.118,1708.478,NSD,evi
2013,1933.61,1718.248,NSD,evi
2014,1656.53,1728.017,NSD,evi
2015,1793.3739999999998,1737.787,NSD,evi
2016,1876.221,1747.557,NSD,evi
2017,1538.8,1757.327,NSD,evi
2018,1789.2839999999999,1767.096,NSD,evi
2019,1765.4460000000001,1776.866,NSD,evi
2020,1840.129,1786.636,NSD,evi
2021,1892.3539999999998,1796.4060000000002,NSD,evi
1984,366.582,353.208,NSD,ndvi
1985,371.467,398.216,NSD,ndvi
1986,456.598,443.224,NSD,ndvi
1987,395.978,459.46,NSD,ndvi
1988,472.282,475.695,NSD,ndvi
1989,536.158,491.931,NSD,ndvi
1990,508.345,508.166,NSD,ndvi
1991,479.507,524.402,NSD,ndvi
1992,510.707,540.637,NSD,ndvi
1993,523.03,556.873,NSD,ndvi
1994,567.304,573.108,NSD,ndvi
1995,615.112,589.344,NSD,ndvi
1996,572.924,605.579,NSD,ndvi
1997,625.762,621.815,NSD,ndvi
1998,682.781,638.05,NSD,ndvi
1999,582.596,637.442,NSD,ndvi
2000,614.176,636.835,NSD,ndvi
2001,587.346,636.227,NSD,ndvi
2002,594.815,635.619,NSD,ndvi
2003,623.41,635.012,NSD,ndvi
2004,620.092,634.404,NSD,ndvi
2005,603.747,633.796,NSD,ndvi
2006,659.244,633.188,NSD,ndvi
2007,598.716,632.581,NSD,ndvi
2008,552.35,631.973,NSD,ndvi
2009,580.36,631.365,NSD,ndvi
2010,602.083,630.758,NSD,ndvi
2011,651.197,630.15,NSD,ndvi
2012,618.347,629.542,NSD,ndvi
2013,686.809,628.934,NSD,ndvi
2014,662.849,628.327,NSD,ndvi
2015,663.009,627.719,NSD,ndvi
2016,646.223,627.111,NSD,ndvi
2017,596.318,626.504,NSD,ndvi
2018,621.528,625.896,NSD,ndvi
2019,619.928,625.288,NSD,ndvi
2020,640.164,624.68,NSD,ndvi
2021,664.899,624.073,NSD,ndvi
1984,1724.3319999999999,1576.734,NSH,evi
1985,1649.798,1615.771,NSH,evi
1986,1657.6319999999998,1654.809,NSH,evi
1987,1559.9,1693.847,NSH,evi
1988,1818.74,1732.885,NSH,evi
1989,1390.77,1771.922,NSH,evi
1990,1687.8529999999998,1810.96,NSH,evi
1991,2121.882,1849.998,NSH,evi
1992,1980.006,1889.036,NSH,evi
1993,1946.3639999999998,1928.0729999999999,NSH,evi
1994,1368.3529999999998,1967.1109999999999,NSH,evi
1995,2635.675,1966.87,NSH,evi
1996,1876.106,1966.629,NSH,evi
1997,1892.753,1966.388,NSH,evi
1998,2455.481,1966.146,NSH,evi
1999,1836.4460000000001,1965.9050000000002,NSH,evi
2000,2026.1529999999998,1965.6639999999998,NSH,evi
2001,2186.1839999999997,1965.423,NSH,evi
2002,2041.5729999999999,1965.1819999999998,NSH,evi
2003,1797.434,1964.94,NSH,evi
2004,1945.237,1964.6989999999998,NSH,evi
2005,2164.4700000000003,1964.458,NSH,evi
2006,2036.099,1964.217,NSH,evi
2007,1803.022,1963.976,NSH,evi
2008,2145.756,1963.734,NSH,evi
2009,2475.207,1963.493,NSH,evi
2010,1785.887,1963.252,NSH,evi
2011,1972.964,1963.011,NSH,evi
2012,2114.4700000000003,1962.77,NSH,evi
2013,1763.615,1962.528,NSH,evi
2014,1535.568,1962.287,NSH,evi
2015,1781.743,1962.046,NSH,evi
2016,2029.658,1961.805,NSH,evi
2017,1551.609,1961.5639999999999,NSH,evi
2018,2173.79,1961.3229999999999,NSH,evi
2019,1941.762,1961.081,NSH,evi
2020,2099.258,1960.84,NSH,evi
2021,1993.556,1960.599,NSH,evi
1984,501.637,512.944,NSH,ndvi
1985,515.59,523.429,NSH,ndvi
1986,552.281,533.913,NSH,ndvi
1987,541.647,544.398,NSH,ndvi
1988,593.781,554.883,NSH,ndvi
1989,567.263,565.368,NSH,ndvi
1990,637.9,575.853,NSH,ndvi
1991,553.086,586.338,NSH,ndvi
1992,538.124,596.823,NSH,ndvi
1993,573.993,607.308,NSH,ndvi
1994,576.818,617.793,NSH,ndvi
1995,668.267,628.277,NSH,ndvi
1996,622.309,638.762,NSH,ndvi
1997,645.249,649.247,NSH,ndvi
1998,707.123,659.732,NSH,ndvi
1999,610.536,659.147,NSH,ndvi
2000,674.31,658.561,NSH,ndvi
2001,708.694,657.975,NSH,ndvi
2002,617.146,657.39,NSH,ndvi
2003,658.382,656.804,NSH,ndvi
2004,625.115,656.218,NSH,ndvi
2005,638.533,655.633,NSH,ndvi
2006,621.857,655.047,NSH,ndvi
2007,619.187,654.462,NSH,ndvi
2008,653.738,653.876,NSH,ndvi
2009,574.856,653.29,NSH,ndvi
2010,623.888,652.705,NSH,ndvi
2011,614.933,652.119,NSH,ndvi
2012,701.811,651.533,NSH,ndvi
2013,693.71,650.948,NSH,ndvi
2014,604.85,650.362,NSH,ndvi
2015,646.948,649.777,NSH,ndvi
2016,641.268,649.191,NSH,ndvi
2017,591.819,648.605,NSH,ndvi
2018,725.212,648.02,NSH,ndvi
2019,655.309,647.434,NSH,ndvi
2020,656.557,646.848,NSH,ndvi
2021,704.107,646.263,NSH,ndvi
